Year,Month,TotalPopulation,TotalUnemployed,TotalEmployed,UnemploymentRate,EmploymentRate
2000,January,1201,72,1129,6,94.1
2000,April,1290,125,1165,9.7,90.4
2000,July,1158,92,1066,8,92.1
2000,October,1148,81,1067,7.1,93
2001,January,1182,86,1096,7.3,92.8
2001,April,1287,155,1132,12.1,88
2001,July,1212,87,1125,7.2,92.9
2001,October,1246,88,1158,7.1,93
2002,January,1248,86,1162,6.9,93.2
2002,April,1354,155,1199,11.5,88.6
2002,July,1320,87,1233,6.6,93.5
2002,October,1298,88,1210,6.8,93.3
2003,January,1300,93,1207,7.2,92.9
2003,April,1315,114,1201,8.7,91.4
2003,July,1216,115,1101,9.5,90.6
2003,October,1270,72,1198,5.7,94.4
2004,January,1275,97,1178,7.7,92.4
2004,April,1295,97,1198,7.5,92.6
2004,July,1309,97,1212,7.5,92.6
2004,October,1298,77,1221,6,94.1
2005,January,1267,73,1194,5.8,94.3
2005,April,1309,110,1199,8.5,91.6
2005,July,1347,71,1276,5.3,94.8
2005,October,1355,78,1277,5.8,94.3
2006,January,1252,64,1188,5.2,94.9
2006,April,1308,90,1218,6.9,93.2
2006,July,1665,71,1594,4.3,95.8
2006,October,1292,36,1256,2.8,97.3
2007,January,1309,49,1260,3.8,96.3
2007,April,1355,42,1313,3.1,97
2007,July,1324,67,1257,5.1,95
2007,October,1280,36,1244,2.9,97.2
2008,January,1295,54,1241,4.2,95.9
2008,April,1352,47,1305,3.5,96.6
2008,July,1402,72,1330,5.2,94.9
2008,October,1430,49,1381,3.5,96.6
2009,January,1373,50,1323,3.7,96.4
2009,April,1435,55,1380,3.9,96.2
2009,July,1451,60,1391,4.2,95.9
2009,October,1378,38,1340,2.8,97.3
2010,January,1465,68,1397,4.7,95.4
2010,April,1422,43,1379,3.1,97
2010,July,1411,56,1355,4,96.1
2010,October,1457,44,1413,3.1,97
2011,January,1726,45,1681,2.7,97.4
2011,April,1440,46,1394,3.2,96.9
2011,July,1462,48,1414,3.3,96.8
2011,October,1526,52,1474,3.5,96.6
2012,January,1440,53,1387,3.7,96.4
2012,April,1478,61,1417,4.2,95.9
2012,July,1418,58,1360,4.1,96
2012,October,1438,49,1389,3.5,96.6
2013,January,1441,48,1393,3.4,96.7
2013,April,1478,61,1417,4.2,95.9
2013,July,1418,58,1360,4.1,96
2013,October,1438,49,1389,3.5,96.6
2014,January,1397,59,1338,4.3,95.8
2014,April,1439,67,1372,4.7,95.4
2014,July,1483,48,1435,3.3,96.8
2014,October,1432,38,1394,2.7,97.4
2015,January,1437,37,1400,2.6,97.5
2015,April,1429,48,1381,3.4,96.7
2015,July,1447,65,1382,4.5,95.6
2015,October,1423,51,1372,3.6,96.5
2016,January,,,,,
2016,April,,,,,
2016,July,1577,72,1505,4.6,95.5
2016,October,,,,,
2017,January,,,,,
2017,April,,,,,
2017,July,,,,,
2017,October,,,,,
2018,January,,,,,
2018,April,,,,,
2018,July,,,,,
2018,October,,,,,
2019,January,,,,,
2019,April,,,,,
2019,July,1499,62,1437,4.2,95.9
2019,October,,,,,
2020,January,,,,,
2020,April,1306,312,994,23.9,76.2
2020,July,,,,,
2020,October,,,,,
