Year,Month,TotalPopulation,TotalUnemployed,TotalEmployed,UnemploymentRate,EmploymentRate
2000,January,1609,122,1487,7.6,92.5
2000,April,1795,347,1448,19.4,80.7
2000,July,1484,133,1351,9,91.1
2000,October,1496,117,1379,7.9,92.2
2001,January,1544,158,1386,10.3,89.8
2001,April,1745,240,1505,13.8,86.3
2001,July,1583,136,1447,8.6,91.5
2001,October,1641,131,1510,8,92.1
2002,January,1672,158,1514,9.5,90.6
2002,April,1857,240,1617,13,87.1
2002,July,1676,136,1540,8.2,91.9
2002,October,1675,131,1544,7.9,92.2
2003,January,1673,136,1537,8.2,91.9
2003,April,1756,166,1590,9.5,90.6
2003,July,1724,183,1541,10.7,89.4
2003,October,1749,136,1613,7.8,92.3
2004,January,1716,131,1585,7.7,92.4
2004,April,1859,229,1630,12.4,87.7
2004,July,1771,168,1603,9.5,90.6
2004,October,1797,185,1612,10.3,89.8
2005,January,1787,164,1623,9.2,90.9
2005,April,1862,152,1710,8.2,91.9
2005,July,1769,136,1633,7.7,92.4
2005,October,1748,143,1605,8.2,91.9
2006,January,1631,110,1521,6.8,93.3
2006,April,1791,169,1622,9.5,90.6
2006,July,2564,91,2473,3.6,96.5
2006,October,1603,77,1526,4.9,95.2
2007,January,1690,103,1587,6.1,94
2007,April,1696,91,1605,5.4,94.7
2007,July,1668,78,1590,4.7,95.4
2007,October,1638,52,1586,3.2,96.9
2008,January,1652,84,1568,5.1,95
2008,April,1687,83,1604,5,95.1
2008,July,1861,215,1646,11.6,88.5
2008,October,1686,65,1621,3.9,96.2
2009,January,1666,93,1573,5.6,94.5
2009,April,1800,90,1710,5,95
2009,July,1772,97,1675,5.5,94.6
2009,October,1793,99,1694,5.6,94.5
2010,January,1763,113,1650,6.5,93.6
2010,April,1749,72,1677,4.2,95.9
2010,July,1773,95,1678,5.4,94.7
2010,October,1746,106,1640,6.1,94
2011,January,2819,114,2705,4.1,96
2011,April,1788,102,1686,5.8,94.3
2011,July,1813,85,1728,4.7,95.4
2011,October,1865,74,1791,4,96.1
2012,January,1835,119,1716,6.5,93.6
2012,April,1928,97,1831,5.1,95
2012,July,1850,80,1770,4.4,95.7
2012,October,1861,95,1766,5.2,94.9
2013,January,1921,118,1803,6.2,93.9
2013,April,1928,97,1831,5.1,95
2013,July,1850,80,1770,4.4,95.7
2013,October,1861,95,1766,5.2,94.9
2014,January,,,,,
2014,April,1150,72,1078,6.3,93.8
2014,July,1102,61,1041,5.6,94.5
2014,October,1075,60,1015,5.6,94.5
2015,January,1075,68,1007,6.4,93.7
2015,April,1162,46,1116,4,96.1
2015,July,1862,93,1769,5,95.1
2015,October,1858,98,1760,5.3,94.8
2016,January,,,,,
2016,April,,,,,
2016,July,1943,85,1858,4.4,95.7
2016,October,,,,,
2017,January,,,,,
2017,April,,,,,
2017,July,,,,,
2017,October,,,,,
2018,January,,,,,
2018,April,,,,,
2018,July,,,,,
2018,October,,,,,
2019,January,,,,,
2019,April,,,,,
2019,July,1995,86,1909,4.4,95.7
2019,October,,,,,
2020,January,,,,,
2020,April,1758,251,1507,14.3,85.8
2020,July,,,,,
2020,October,,,,,
