Year,Month,TotalPopulation,TotalUnemployed,TotalEmployed,UnemploymentRate,EmploymentRate
2000,January,2186,159,2027,7.3,92.8
2000,April,2264,310,1954,13.7,86.4
2000,July,1825,182,1643,10,90.1
2000,October,1896,159,1737,8.4,91.7
2001,January,341,164,177,48.1,52
2001,April,2053,240,1813,11.7,88.4
2001,July,1959,176,1783,9,91.1
2001,October,2029,154,1875,7.6,92.5
2002,January,1974,164,1810,8.4,91.7
2002,April,2128,240,1888,11.3,88.8
2002,July,1988,176,1812,8.9,91.2
2002,October,1985,154,1831,7.8,92.3
2003,January,1988,158,1830,8,92.1
2003,April,2015,194,1821,9.7,90.4
2003,July,2052,197,1855,9.7,90.4
2003,October,2049,136,1913,6.7,93.4
2004,January,2132,186,1946,8.8,91.3
2004,April,2164,201,1963,9.3,90.8
2004,July,2056,173,1883,8.5,91.6
2004,October,2080,161,1919,7.8,92.3
2005,January,2094,186,1908,8.9,91.2
2005,April,2232,183,2049,8.2,91.9
2005,July,2157,178,1979,8.3,91.8
2005,October,2153,162,1991,7.6,92.5
2006,January,2041,170,1871,8.4,91.7
2006,April,2156,203,1953,9.5,90.6
2006,July,1173,122,1051,10.5,89.6
2006,October,2019,105,1914,5.3,94.8
2007,January,2079,126,1953,6.1,94
2007,April,2108,111,1997,5.3,94.8
2007,July,2047,114,1933,5.6,94.5
2007,October,2043,85,1958,4.2,95.9
2008,January,2048,127,1921,6.3,93.8
2008,April,2159,140,2019,6.5,93.6
2008,July,2100,51,2049,2.5,97.6
2008,October,2113,109,2004,5.2,94.9
2009,January,2107,129,1978,6.2,93.9
2009,April,2185,143,2042,6.6,93.5
2009,July,2162,116,2046,5.4,94.7
2009,October,2166,116,2050,5.4,94.7
2010,January,2185,112,2073,5.2,94.9
2010,April,2204,145,2059,6.6,93.5
2010,July,2227,134,2093,6.1,94
2010,October,2187,126,2061,5.8,94.3
2011,January,1395,157,1238,11.3,88.8
2011,April,2203,145,2058,6.6,93.5
2011,July,2196,118,2078,5.4,94.7
2011,October,2308,122,2186,5.3,94.8
2012,January,2386,171,2215,7.2,92.9
2012,April,2424,166,2258,6.9,93.2
2012,July,2379,133,2246,5.6,94.5
2012,October,2470,121,2349,4.9,95.2
2013,January,2397,138,2259,5.8,94.3
2013,April,2424,166,2258,6.9,93.2
2013,July,2379,133,2246,5.6,94.5
2013,October,2470,121,2349,4.9,95.2
2014,January,2426,181,2245,7.5,92.6
2014,April,2489,151,2338,6.1,94
2014,July,2426,157,2269,6.5,93.6
2014,October,2445,120,2325,5,95.1
2015,January,2444,153,2291,6.3,93.8
2015,April,4387,120,4267,2.8,97.3
2015,July,2496,155,2341,6.3,93.8
2015,October,2535,140,2395,5.6,94.5
2016,January,,,,,
2016,April,,,,,
2016,July,2397,96,2301,4.1,96
2016,October,,,,,
2017,January,,,,,
2017,April,,,,,
2017,July,,,,,
2017,October,,,,,
2018,January,,,,,
2018,April,,,,,
2018,July,,,,,
2018,October,,,,,
2019,January,,,,,
2019,April,,,,,
2019,July,2637,131,2506,5,95.1
2019,October,,,,,
2020,January,,,,,
2020,April,2192,345,1847,15.8,84.3
2020,July,,,,,
2020,October,,,,,
